118.44	2.3e-20
118.46	5.0e-21
118.48	2.0e-21
118.50	1.98e-19
118.52	8.0e-20
118.54	8.6e-20
118.56	1.57e-19
118.58	1.27e-19
118.60	1.4e-20
118.62	1.00e-19
118.64	7.8e-20
118.66	3.7e-20
118.68	7.0e-20
118.70	8.6e-20
118.72	3.4e-20
118.74	7.0e-21
118.76	5.4e-20
118.78	2.1e-20
118.80	1.02e-19
118.82	2.73e-19
118.84	1.45e-19
118.86	3.0e-21
118.88	6.1e-20
118.90	1.0e-20
118.92	6.9e-20
118.94	8.1e-20
118.96	1.16e-19
118.98	2.07e-19
119.00	1.15e-19
119.02	7.0e-20
119.04	6.7e-20
119.06	1.51e-19
119.08	2.85e-19
119.10	2.37e-19
119.12	4.03e-19
119.14	8.89e-19
119.16	5.5e-20
119.18	1.92e-19
119.20	3.1e-20
119.22	2.1e-20
119.24	4.25e-19
119.26	3.05e-19
119.28	4.81e-19
119.30	1.32e-19
119.32	4.15e-19
119.34	3.69e-19
119.36	3.35e-19
119.38	6.76e-19
119.40	1.87e-19
119.42	9.19e-19
119.44	8.96e-19
119.46	4.95e-19
119.48	5.46e-19
119.50	7.26e-19
119.52	6.54e-19
119.54	2.18e-19
119.56	8.27e-19
119.58	6.32e-19
119.60	1.161e-18
119.62	1.121e-18
119.64	1.065e-18
119.66	8.47e-19
119.68	1.177e-18
119.70	6.81e-19
119.72	1.313e-18
119.74	1.203e-18
119.76	8.09e-19
119.78	1.338e-18
119.80	8.65e-19
119.82	1.389e-18
119.84	1.428e-18
119.86	1.540e-18
119.88	1.622e-18
119.90	1.913e-18
119.92	1.937e-18
119.94	9.94e-19
119.96	1.865e-18
119.98	2.157e-18
120.00	2.224e-18
120.02	2.500e-18
120.04	2.430e-18
120.06	2.712e-18
120.08	2.997e-18
120.10	2.585e-18
120.12	2.612e-18
120.14	3.107e-18
120.16	4.086e-18
120.18	3.846e-18
120.20	3.470e-18
120.22	5.000e-18
120.24	4.617e-18
120.26	5.080e-18
120.28	5.099e-18
120.30	6.613e-18
120.32	7.628e-18
120.34	6.679e-18
120.36	9.332e-18
120.38	8.150e-18
120.40	1.002e-17
120.42	1.110e-17
120.44	1.324e-17
120.46	1.293e-17
120.48	1.515e-17
120.50	1.629e-17
120.52	1.761e-17
120.54	1.842e-17
120.56	1.805e-17
120.58	1.796e-17
120.60	1.715e-17
120.62	1.616e-17
120.64	1.374e-17
120.66	1.418e-17
120.68	1.474e-17
120.70	1.350e-17
120.72	1.283e-17
120.74	1.319e-17
120.76	1.304e-17
120.78	1.237e-17
120.80	1.229e-17
120.82	1.048e-17
120.84	9.252e-18
120.86	7.526e-18
120.88	6.454e-18
120.90	5.425e-18
120.92	3.639e-18
120.94	4.265e-18
120.96	4.301e-18
120.98	3.083e-18
121.00	2.253e-18
121.02	2.085e-18
121.04	1.998e-18
121.06	1.351e-18
121.08	1.300e-18
121.10	1.122e-18
121.12	1.721e-18
121.14	9.46e-19
121.16	8.88e-19
121.18	9.47e-19
121.20	7.53e-19
121.22	6.55e-19
121.24	4.63e-19
121.26	4.73e-19
121.28	3.42e-19
121.30	3.98e-19
121.32	3.52e-19
121.34	1.80e-19
121.36	2.86e-19
121.38	4.14e-19
121.40	3.0e-21
121.42	1.46e-19
121.44	2.5e-20
121.46	1.34e-19
121.48	4.23e-19
121.50	1.0e-20
121.52	1.14e-19
121.54	2.21e-19
121.56	2.64e-19
121.58	1.44e-19
121.60	2.49e-19
121.62	2.22e-19
121.64	3.6e-20
121.66	2.0e-21
121.68	1.57e-19
121.70	2.8e-20
121.72	2.25e-19
121.74	1.64e-19
121.76	1.31e-19
121.78	3.1e-20
121.80	3.67e-19
121.82	3.38e-19
121.84	2.7e-20
121.86	4.94e-19
121.88	9.4e-20
121.90	1.40e-19
121.92	2.19e-19
121.94	2.0e-21
121.96	7.0e-21
121.98	8.3e-20
122.00	2.1e-20
122.02	3.33e-19
122.04	3.19e-19
122.06	6.5e-20
122.08	3.41e-19
122.10	2.94e-19
122.12	2.21e-19
122.14	3.85e-19
122.16	3.75e-19
122.18	3.68e-19
122.20	5.2e-20
122.22	4.92e-19
122.24	3.66e-19
122.26	2.49e-19
122.28	3.01e-19
122.30	2.82e-19
122.32	4.5e-20
122.34	3.59e-19
122.36	1.47e-19
122.38	2.45e-19
122.40	1.31e-19
122.42	4.32e-19
122.44	3.72e-19
122.46	1.77e-19
122.48	2.04e-19
122.50	4.78e-19
122.52	7.3e-20
122.54	4.49e-19
122.56	7.9e-20
122.58	1.0e-21
122.60	3.78e-19
122.62	3.16e-19
122.64	3.93e-19
122.66	5.11e-19
122.68	5.30e-19
122.70	3.25e-19
122.72	5.54e-19
122.74	5.59e-19
122.76	5.23e-19
122.78	8.6e-20
122.80	3.48e-19
122.82	2.64e-19
122.84	5.24e-19
122.86	3.37e-19
122.88	5.46e-19
122.90	8.5e-20
122.92	2.14e-19
122.94	3.76e-19
122.96	4.87e-19
122.98	2.46e-19
123.00	3.11e-19
123.02	3.56e-19
123.04	6.47e-19
123.06	2.65e-19
123.08	4.98e-19
123.10	7.07e-19
123.12	4.64e-19
123.14	6.11e-19
123.16	5.69e-19
123.18	8.2e-20
123.20	4.67e-19
123.22	4.40e-19
123.24	4.86e-19
123.26	5.79e-19
123.28	7.74e-19
123.30	4.98e-19
123.32	8.91e-19
123.34	1.059e-18
123.36	5.92e-19
123.38	1.91e-19
123.40	4.85e-19
123.42	4.45e-19
123.44	4.70e-19
123.46	7.34e-19
123.48	8.24e-19
123.50	7.12e-19
123.52	4.98e-19
123.54	6.18e-19
123.56	6.29e-19
123.58	3.82e-19
123.60	4.80e-19
123.62	6.29e-19
123.64	5.56e-19
123.66	4.47e-19
123.68	3.31e-19
123.70	7.62e-19
123.72	3.98e-19
123.74	6.72e-19
123.76	4.27e-19
123.78	5.20e-19
123.80	5.25e-19
123.82	7.46e-19
123.84	2.31e-19
123.86	3.70e-19
123.88	2.88e-19
123.90	5.86e-19
123.92	3.61e-19
123.94	1.69e-19
123.96	4.13e-19
123.98	5.58e-19
124.00	3.49e-19
124.02	2.20e-19
124.04	3.55e-19
124.06	1.13e-19
124.08	3.44e-19
124.10	3.11e-19
124.12	6.86e-19
124.14	4.20e-19
124.16	5.27e-19
124.18	6.59e-19
124.20	8.85e-19
124.22	1.406e-18
124.24	6.661e-18
124.26	7.503e-18
124.28	9.852e-18
124.30	1.084e-17
124.32	2.507e-17
124.34	3.946e-17
124.36	5.094e-17
124.38	4.488e-17
124.40	3.284e-17
124.42	4.297e-17
124.44	5.756e-17
124.46	4.831e-17
124.48	2.622e-17
124.50	1.464e-17
124.52	1.050e-17
124.54	8.309e-18
124.56	6.010e-18
124.58	5.701e-18
124.60	3.339e-18
124.62	3.107e-18
124.64	2.680e-18
124.66	2.494e-18
124.68	2.437e-18
124.70	2.119e-18
124.72	1.894e-18
124.74	1.811e-18
124.76	1.863e-18
124.78	1.638e-18
124.80	1.843e-18
124.82	2.009e-18
124.84	1.561e-18
124.86	1.595e-18
124.88	1.863e-18
124.90	1.571e-18
124.92	1.533e-18
124.94	1.319e-18
124.96	1.680e-18
124.98	1.610e-18
125.00	1.759e-18
125.02	1.591e-18
125.04	1.529e-18
125.06	1.533e-18
125.08	1.389e-18
125.10	1.288e-18
125.12	9.66e-19
125.14	1.102e-18
125.16	1.037e-18
125.18	1.201e-18
125.20	9.59e-19
125.22	8.97e-19
125.24	9.54e-19
125.26	1.067e-18
125.28	9.27e-19
125.30	1.081e-18
125.32	7.14e-19
125.34	9.40e-19
125.36	8.44e-19
125.38	9.15e-19
125.40	8.58e-19
125.42	7.57e-19
125.44	8.55e-19
125.46	6.37e-19
125.48	9.14e-19
