wavelength transit_depth
250.0 8.458061842790645e-05
243.90226033775028 8.496461067326801e-05
238.09489753737844 8.435042618212399e-05
232.55765218199178 8.431994936086782e-05
227.2721066701619 8.441016157540349e-05
222.22148056429785 8.431639631232483e-05
217.3904526334073 8.434323175466673e-05
212.76500561438357 8.47323432852504e-05
208.33229037861759 8.439873834100486e-05
204.08050673167753 8.449725236931151e-05
199.99879851737043 8.433646461884504e-05
196.07716106279332 8.438004898164411e-05
192.3063593030483 8.436854801229515e-05
188.6778551750677 8.444142864802189e-05
185.18374307897176 8.446347227758237e-05
181.8166923801592 8.458354948824955e-05
178.5698960720201 8.466703154846899e-05
175.43702484268795 8.465849715996759e-05
172.4121858936049 8.451151624418583e-05
169.48988594611575 8.445185031179571e-05
166.6649979474754 8.459880614817991e-05
163.93273105174083 8.438812708380571e-05
161.28860350579373 8.448696028493708e-05
158.7284181176961 8.442258063522488e-05
156.24824002493065 8.520904733147595e-05
153.8443765148417 8.439909353593257e-05
151.5133586796147 8.436902819957171e-05
149.25192471412288 8.438144712721598e-05
147.05700468751934 8.470076797038604e-05
144.92570663906176 8.451660719682349e-05
142.85530386574382 8.443192620846641e-05
140.84322328422942 8.444317499468575e-05
138.88703476264217 8.47088409403155e-05
136.98444132920827 8.45939311692662e-05
135.13327017480626 8.466679801631714e-05
133.33146437532415 8.451231348607123e-05
131.5770752675253 8.451476703867929e-05
129.8682554190116 8.4420878195847e-05
128.20325213896723 8.447414933580501e-05
126.58040148176481 8.467862688730082e-05
124.99812270030789 8.463353952323071e-05
123.45491311024281 8.460973757107787e-05
121.94934332996579 8.46573755443558e-05
120.48005286473064 8.44454938510467e-05
119.04574600618186 8.441544996425125e-05
117.6451880213367 8.442950080321586e-05
116.27720160745582 8.445987553448158e-05
114.94066359140895 8.452983617724991e-05
113.63450185408692 8.493792780775397e-05
112.3576924621596 8.456978852241369e-05
111.1092569910524 8.450309846653774e-05
109.88826002443209 8.450033083012915e-05
108.69380681677198 8.463792012081561e-05
107.52504110672116 8.464986547204778e-05
106.38114307004757 8.449502592648218e-05
105.26132740187082 8.44951862263875e-05
104.16484151875669 8.468107792955793e-05
103.09096387202379 8.446152936283983e-05
102.03900236431834 8.454507791647228e-05
101.00829286215549 8.503609884335416e-05
99.99819779770881 8.463126100028899e-05
99.00810485366328 8.461053994134298e-05
98.03742572543042 8.449962459047723e-05
97.08559495546842 8.445988118911994e-05
96.15206883485365 8.462120295216621e-05
95.23632436762045 8.457661271009407e-05
94.33785829372364 8.45733162276192e-05
93.45618616678892 8.451717107205e-05
92.59084148309992 8.447808082679437e-05
91.7413748585314 8.442514747271124e-05
90.90735325037751 8.453746959197265e-05
90.08835922124389 8.478550681777482e-05
89.28399024237444 8.449031023538507e-05
88.49385803397014 8.442175921770388e-05
87.7175879402281 8.440188083577228e-05
86.9548183369878 8.439648007365716e-05
86.20520007001649 8.439923951377896e-05
85.46839592210084 8.44365030154786e-05
84.74408010723593 8.490194338930546e-05
84.03193779031746 8.444869540507359e-05
83.33166463084963 8.481385226004212e-05
82.64296634927949 8.452642570739925e-05
81.96555831465892 8.483403621971432e-05
81.29916515242128 8.453307925319095e-05
80.64352037113655 8.445536529652529e-05
79.99836600718236 8.446308298286549e-05
79.36345228633587 8.454081835880745e-05
78.73853730135323 8.525228767784701e-05
78.12338670466299 8.453293527468296e-05
77.51777341535272 8.446766032827866e-05
76.92147733967953 8.445115207060697e-05
76.33428510438183 8.449937071477563e-05
75.7559898021133 8.46595222600462e-05
75.18639074836115 8.469061792364649e-05
74.62529324924876 8.450186793493975e-05
74.07250837965832 8.444404008032568e-05
73.52785277114225 8.44289387548858e-05
72.99114840912314 8.442635231105908e-05
72.46222243891143 8.447224904487878e-05
71.9409069800961 8.507551777936475e-05
71.42703894889058 8.472229739976423e-05
70.92045988803804 8.459069703991681e-05
70.42101580390417 8.444201324576794e-05
69.92855701040504 8.44113613524998e-05
69.44293797943828 8.440702428823603e-05
68.96401719750303 8.444868841040668e-05
68.4916570282126 8.443338199611797e-05
68.02572358041868 8.446303521263582e-05
67.56608658168207 8.453047948759582e-05
67.11261925683841 8.496389757913e-05
66.66519821142151 8.469229394106707e-05
66.22370331971874 8.470325393569416e-05
65.78801761724543 8.455398884997451e-05
65.35802719743594 8.457596465194983e-05
64.93362111235983 8.4540388210914e-05
64.5146912772812 8.444484499874167e-05
64.10113237888906 8.443473959444448e-05
63.69284178703457 8.447888464448337e-05
63.289719469820284 8.475614620454149e-05
62.891667911893485 8.451692741953777e-05
62.4985920358036 8.440422624184953e-05
62.11039912629034 8.437988929555697e-05
61.726998757376116 8.44183480326947e-05
61.34830272214205 8.43713586268348e-05
60.97422496507334 8.437589972470287e-05
60.60468151686462 8.438121156087662e-05
60.239590431581966 8.448540240222474e-05
59.87887172608241 8.449531385738676e-05
59.52244732159715 8.444417505994483e-05
59.17024098738874 8.450787220382805e-05
58.8221782863968 8.470848701062737e-05
58.478186522790985 8.461518486928174e-05
58.138194691353455 8.449130189655666e-05
57.80213342861691 8.454206017977848e-05
57.46993496568756 8.452597504153068e-05
57.14153308268548 8.444417065107298e-05
56.81686306473833 8.521344982106755e-05
56.49586165946666 8.456656289011144e-05
56.17846703590245 8.458597590128358e-05
55.86461874478451 8.446257559860808e-05
55.55425768017755 8.439519941679289e-05
55.247326042363476 8.447579982462872e-05
54.94376730195604 8.441726141940175e-05
54.643526165192114 8.438129639964234e-05
54.346548540354746 8.436764996251652e-05
54.05278150528522 8.434479333444634e-05
53.7621732759431 8.436706050907224e-05
