wavelength transit_depth
250.0 8.460192414714488e-05
243.90226033775028 8.495908956921801e-05
238.09489753737844 8.44967410167861e-05
232.55765218199178 8.454010054764869e-05
227.2721066701619 8.449549792462156e-05
222.22148056429785 8.448872523391915e-05
217.3904526334073 8.448489409152978e-05
212.76500561438357 8.479110150220204e-05
208.33229037861759 8.450584603878157e-05
204.08050673167753 8.454274752621811e-05
199.99879851737043 8.449164589667648e-05
196.07716106279332 8.452190776792551e-05
192.3063593030483 8.449480404303584e-05
188.6778551750677 8.451466631344588e-05
185.18374307897176 8.452413545232861e-05
181.8166923801592 8.46569631131372e-05
178.5698960720201 8.466666160480293e-05
175.43702484268795 8.465945127440439e-05
172.4121858936049 8.456524533197505e-05
169.48988594611575 8.451608109646829e-05
166.6649979474754 8.473325489357557e-05
163.93273105174083 8.463041554852615e-05
161.28860350579373 8.472861665517087e-05
158.7284181176961 8.450878049829192e-05
156.24824002493065 8.520120340640116e-05
153.8443765148417 8.450764249093414e-05
151.5133586796147 8.450214666291785e-05
149.25192471412288 8.45040990715221e-05
147.05700468751934 8.469799428853278e-05
144.92570663906176 8.454958472575334e-05
142.85530386574382 8.4518559981032e-05
140.84322328422942 8.47290317481605e-05
138.88703476264217 8.470559840576064e-05
136.98444132920827 8.45991908048444e-05
135.13327017480626 8.466547095053113e-05
133.33146437532415 8.454555543837034e-05
131.5770752675253 8.45487141130614e-05
129.8682554190116 8.451723988099052e-05
128.20325213896723 8.453631681991138e-05
126.58040148176481 8.46770657553019e-05
124.99812270030789 8.463471002042721e-05
123.45491311024281 8.461413745799609e-05
121.94934332996579 8.465700445720132e-05
120.48005286473064 8.452305332862058e-05
119.04574600618186 8.451605949294344e-05
117.6451880213367 8.45319301459081e-05
116.27720160745582 8.453083198486599e-05
114.94066359140895 8.455782595127374e-05
113.63450185408692 8.493253758366907e-05
112.3576924621596 8.4581824306283e-05
111.1092569910524 8.454418984358268e-05
109.88826002443209 8.45432197620335e-05
108.69380681677198 8.463740047147703e-05
107.52504110672116 8.465019967436498e-05
106.38114307004757 8.454175467888391e-05
105.26132740187082 8.454259298241837e-05
104.16484151875669 8.467835648284603e-05
103.09096387202379 8.453147110824865e-05
102.03900236431834 8.456673082109153e-05
101.00829286215549 8.50298205715413e-05
99.99819779770881 8.463141098109286e-05
99.00810485366328 8.461443023041274e-05
98.03742572543042 8.454510536349536e-05
97.08559495546842 8.453223150022244e-05
96.15206883485365 8.462267974295412e-05
95.23632436762045 8.458817171652591e-05
94.33785829372364 8.458532085219809e-05
93.45618616678892 8.4553275258939e-05
92.59084148309992 8.453832139647571e-05
91.7413748585314 8.452538719618348e-05
90.90735325037751 8.456374089752368e-05
90.08835922124389 8.478149331498085e-05
