wavelength transit_depth
250.0 8.458263990466596e-05
243.90226033775028 8.496600401354206e-05
238.09489753737844 8.435446200013015e-05
232.55765218199178 8.432475724521516e-05
227.2721066701619 8.44132889372488e-05
222.22148056429785 8.4320974322108e-05
217.3904526334073 8.43473012462878e-05
212.76500561438357 8.473408845883999e-05
208.33229037861759 8.440216356674596e-05
204.08050673167753 8.449904577833547e-05
199.99879851737043 8.434080727047086e-05
196.07716106279332 8.438375184392498e-05
192.3063593030483 8.437248884525954e-05
188.6778551750677 8.444449470965176e-05
185.18374307897176 8.446635937729316e-05
181.8166923801592 8.4585805168477e-05
178.5698960720201 8.466882153328534e-05
175.43702484268795 8.466032207472926e-05
172.4121858936049 8.451414977377586e-05
169.48988594611575 8.445495260756716e-05
166.6649979474754 8.460135418270122e-05
163.93273105174083 8.439287744365459e-05
161.28860350579373 8.449143712780424e-05
158.7284181176961 8.442615632175618e-05
156.24824002493065 8.521040613994025e-05
153.8443765148417 8.440310686973546e-05
151.5133586796147 8.437356373724932e-05
149.25192471412288 8.438582073083236e-05
147.05700468751934 8.470255436517329e-05
144.92570663906176 8.451937815982323e-05
142.85530386574382 8.44355525245154e-05
140.84322328422942 8.444823692224818e-05
138.88703476264217 8.471048387102722e-05
136.98444132920827 8.459621648859177e-05
135.13327017480626 8.466874393458381e-05
133.33146437532415 8.451524249489199e-05
131.5770752675253 8.451769783513744e-05
129.8682554190116 8.442499787998058e-05
128.20325213896723 8.447757816358801e-05
126.58040148176481 8.468056731902605e-05
124.99812270030789 8.463568431731419e-05
123.45491311024281 8.461201967623792e-05
121.94934332996579 8.465942604130006e-05
120.48005286473064 8.444940133010884e-05
119.04574600618186 8.441986913438488e-05
117.6451880213367 8.443378049264708e-05
116.27720160745582 8.446368739437419e-05
114.94066359140895 8.453282165976765e-05
113.63450185408692 8.49393962617357e-05
112.3576924621596 8.457244855374595e-05
111.1092569910524 8.450643418730045e-05
109.88826002443209 8.450372406796765e-05
108.69380681677198 8.464015903957353e-05
107.52504110672116 8.465205118153313e-05
106.38114307004757 8.44985613944018e-05
105.26132740187082 8.449844465227023e-05
104.16484151875669 8.468313817046592e-05
103.09096387202379 8.446563361543246e-05
102.03900236431834 8.454812587264719e-05
101.00829286215549 8.50375175265436e-05
99.99819779770881 8.463363085293901e-05
99.00810485366328 8.461306634975433e-05
98.03742572543042 8.450331670114589e-05
97.08559495546842 8.446422429406196e-05
96.15206883485365 8.462368872575935e-05
95.23632436762045 8.457947151119041e-05
94.33785829372364 8.457621738617579e-05
93.45618616678892 8.452072536402608e-05
92.59084148309992 8.44822392447022e-05
91.7413748585314 8.44303578826421e-05
90.90735325037751 8.45408255310022e-05
90.08835922124389 8.478728058095249e-05
89.28399024237444 8.449436967061982e-05
88.49385803397014 8.442719592398202e-05
87.7175879402281 8.440785012159207e-05
86.9548183369878 8.440263744074183e-05
86.20520007001649 8.440536651436678e-05
85.46839592210084 8.444175130206195e-05
84.74408010723593 8.490350341312242e-05
84.03193779031746 8.44537421989531e-05
83.33166463084963 8.481558423173337e-05
82.64296634927949 8.453014062647533e-05
81.96555831465892 8.483572720614751e-05
81.29916515242128 8.453674236275245e-05
80.64352037113655 8.446044345983588e-05
79.99836600718236 8.44680294745593e-05
79.36345228633587 8.454443616134492e-05
78.73853730135323 8.525365576341693e-05
78.12338670466299 8.453670864226307e-05
77.51777341535272 8.447264129371824e-05
76.92147733967953 8.445654780866537e-05
76.33428510438183 8.450377564132652e-05
75.7559898021133 8.466201463074487e-05
75.18639074836115 8.469291451975842e-05
74.62529324924876 8.450631386828364e-05
74.07250837965832 8.444981808088929e-05
73.52785277114225 8.443517564431265e-05
72.99114840912314 8.443270087701123e-05
72.46222243891143 8.447742449798965e-05
71.9409069800961 8.507694501331205e-05
71.42703894889058 8.472449541989059e-05
70.92045988803804 8.459393112641673e-05
70.42101580390417 8.444808494564722e-05
69.92855701040504 8.44184197876213e-05
69.44293797943828 8.441427439004569e-05
68.96401719750303 8.445467620808622e-05
68.4916570282126 8.443985052137571e-05
68.02572358041868 8.446869596474656e-05
67.56608658168207 8.453470139065956e-05
67.11261925683841 8.496542625477082e-05
66.66519821142151 8.4694698401497e-05
66.22370331971874 8.470559394515609e-05
65.78801761724543 8.455788892299318e-05
65.35802719743594 8.457955400658944e-05
64.93362111235983 8.454455181964745e-05
64.5146912772812 8.445129009498815e-05
64.10113237888906 8.444154515722146e-05
63.69284178703457 8.448443351335243e-05
63.289719469820284 8.47582356214384e-05
62.891667911893485 8.452164473531914e-05
62.4985920358036 8.441232413835501e-05
62.11039912629034 8.438909671642685e-05
61.726998757376116 8.44259874757515e-05
61.34830272214205 8.438109485309484e-05
60.97422496507334 8.438548238628943e-05
60.60468151686462 8.439059365173916e-05
60.239590431581966 8.449153987931472e-05
59.87887172608241 8.450072949107579e-05
59.52244732159715 8.445113354350302e-05
59.17024098738874 8.451303480033717e-05
58.8221782863968 8.471092212103484e-05
58.478186522790985 8.461850841621585e-05
58.138194691353455 8.449696403019982e-05
57.80213342861691 8.454657541450883e-05
57.46993496568756 8.453084808077934e-05
57.14153308268548 8.44514080542205e-05
56.81686306473833 8.521483722656198e-05
56.49586165946666 8.457070079921481e-05
56.17846703590245 8.458980996914545e-05
55.86461874478451 8.446932761266584e-05
55.55425768017755 8.440477089399695e-05
55.247326042363476 8.44821940728645e-05
54.94376730195604 8.44258978911379e-05
54.643526165192114 8.43917778899031e-05
54.346548540354746 8.437897822074082e-05
54.05278150528522 8.435763086602964e-05
53.7621732759431 8.437855851443138e-05
