wavelength transit_depth
250.0 8.458208988504748e-05
243.90226033775028 8.496595714884644e-05
238.09489753737844 8.43521168697706e-05
232.55765218199178 8.43218265982549e-05
227.2721066701619 8.441171304886274e-05
222.22148056429785 8.431806573193799e-05
217.3904526334073 8.434481831675698e-05
212.76500561438357 8.473380525807015e-05
208.33229037861759 8.440031974704662e-05
204.08050673167753 8.449803526632946e-05
199.99879851737043 8.433802038679413e-05
196.07716106279332 8.438147900459058e-05
192.3063593030483 8.437012350790951e-05
188.6778551750677 8.444297654551637e-05
185.18374307897176 8.446501241268392e-05
181.8166923801592 8.458509515714596e-05
178.5698960720201 8.466843859681602e-05
175.43702484268795 8.465991004225366e-05
172.4121858936049 8.45130589350332e-05
169.48988594611575 8.445338305596939e-05
166.6649979474754 8.460052189833004e-05
163.93273105174083 8.439010828691979e-05
161.28860350579373 8.448942481223663e-05
158.7284181176961 8.442413265770503e-05
156.24824002493065 8.521039247518495e-05
153.8443765148417 8.440066622662547e-05
151.5133586796147 8.437057162941307e-05
149.25192471412288 8.438300359591206e-05
147.05700468751934 8.470217362004634e-05
144.92570663906176 8.451813434713932e-05
142.85530386574382 8.443338860370924e-05
140.84322328422942 8.44455842284901e-05
138.88703476264217 8.471009545034784e-05
136.98444132920827 8.459540501467265e-05
135.13327017480626 8.466822521553961e-05
133.33146437532415 8.451385258142226e-05
131.5770752675253 8.45163106616507e-05
129.8682554190116 8.442246085743159e-05
128.20325213896723 8.447573548790287e-05
126.58040148176481 8.468005717885592e-05
124.99812270030789 8.463499813423927e-05
123.45491311024281 8.4611209271419e-05
121.94934332996579 8.465882181701353e-05
120.48005286473064 8.444707562757754e-05
119.04574600618186 8.441702594209317e-05
117.6451880213367 8.443112442522207e-05
116.27720160745582 8.446148246513547e-05
114.94066359140895 8.453139083160923e-05
113.63450185408692 8.493928682525808e-05
112.3576924621596 8.457131158112829e-05
111.1092569910524 8.450468234693755e-05
109.88826002443209 8.450192065278541e-05
108.69380681677198 8.463939345117445e-05
107.52504110672116 8.465133162713945e-05
106.38114307004757 8.449663076142464e-05
105.26132740187082 8.449648837833206e-05
104.16484151875669 8.468252758935194e-05
103.09096387202379 8.446316387376308e-05
102.03900236431834 8.454665110942134e-05
101.00829286215549 8.503745111148261e-05
99.99819779770881 8.463275502795235e-05
99.00810485366328 8.461205582431642e-05
98.03742572543042 8.45012601843311e-05
97.08559495546842 8.446155698720547e-05
96.15206883485365 8.462271587934405e-05
95.23632436762045 8.457817187299331e-05
94.33785829372364 8.457487974762672e-05
93.45618616678892 8.451880320552952e-05
92.59084148309992 8.447975911437905e-05
91.7413748585314 8.442686644472773e-05
90.90735325037751 8.453908977380537e-05
90.08835922124389 8.478691513465439e-05
89.28399024237444 8.449199503312007e-05
88.49385803397014 8.442350758213214e-05
87.7175879402281 8.44036354132169e-05
86.9548183369878 8.43982407504908e-05
86.20520007001649 8.440100897517115e-05
85.46839592210084 8.443827449632264e-05
84.74408010723593 8.490331794382646e-05
84.03193779031746 8.44504686941189e-05
83.33166463084963 8.481525458052952e-05
82.64296634927949 8.452810044905882e-05
81.96555831465892 8.483543213461318e-05
81.29916515242128 8.453475270671205e-05
80.64352037113655 8.44571700786414e-05
79.99836600718236 8.446488454655315e-05
79.36345228633587 8.454249254340848e-05
78.73853730135323 8.525363513500578e-05
78.12338670466299 8.453463155204407e-05
77.51777341535272 8.446948195359877e-05
76.92147733967953 8.445301327187463e-05
76.33428510438183 8.450114404144774e-05
75.7559898021133 8.466104733533527e-05
75.18639074836115 8.469211282689452e-05
74.62529324924876 8.45036572577239e-05
74.07250837965832 8.444596393897269e-05
73.52785277114225 8.443090503541146e-05
72.99114840912314 8.442833341941209e-05
72.46222243891143 8.447413090600524e-05
71.9409069800961 8.50768724529339e-05
71.42703894889058 8.472380008611052e-05
70.92045988803804 8.459233884411301e-05
70.42101580390417 8.444400188649547e-05
69.92855701040504 8.441344026086617e-05
69.44293797943828 8.440912611811126e-05
68.96401719750303 8.445068569562413e-05
68.4916570282126 8.44354316120524e-05
68.02572358041868 8.446500506524443e-05
67.56608658168207 8.45322707735771e-05
67.11261925683841 8.496526825926945e-05
66.66519821142151 8.469381053610171e-05
66.22370331971874 8.470476018750043e-05
65.78801761724543 8.45557394825126e-05
65.35802719743594 8.457767050702276e-05
64.93362111235983 8.454218088596124e-05
64.5146912772812 8.444694215158293e-05
64.10113237888906 8.443688405178859e-05
63.69284178703457 8.448087768368015e-05
63.289719469820284 8.475761170733007e-05
62.891667911893485 8.451880961417855e-05
62.4985920358036 8.440654181976321e-05
62.11039912629034 8.438233013009806e-05
61.726998757376116 8.442062739888502e-05
61.34830272214205 8.437387626639374e-05
60.97422496507334 8.437841561989078e-05
60.60468151686462 8.438371555370183e-05
60.239590431581966 8.448765673583587e-05
59.87887172608241 8.449731634038074e-05
59.52244732159715 8.444640112928318e-05
59.17024098738874 8.45098408727219e-05
58.8221782863968 8.471001317562848e-05
58.478186522790985 8.46168614806747e-05
58.138194691353455 8.449335324985097e-05
57.80213342861691 8.454393359833581e-05
57.46993496568756 8.452790705785018e-05
57.14153308268548 8.444646589793629e-05
56.81686306473833 8.5214800077139e-05
56.49586165946666 8.456837877925035e-05
56.17846703590245 8.45877419330269e-05
55.86461874478451 8.446481213931482e-05
55.55425768017755 8.439785458357965e-05
55.247326042363476 8.447798584891303e-05
54.94376730195604 8.441979308213796e-05
54.643526165192114 8.438410228842644e-05
54.346548540354746 8.43705843996007e-05
54.05278150528522 8.434794837535924e-05
53.7621732759431 8.437003590991218e-05
